Date,Predicted,Lower_Bound,Upper_Bound,Trend,Daily_Seasonality,Weekly_Seasonality
2017-07-01 17:15:00,67.32270896264892,17.80868870948218,110.18163632418066,60.90951566098229,6.6227909409954435,-0.20959763932881653
2017-07-01 17:20:00,67.83488271700998,18.03076536424836,108.26228349382882,60.918822031940635,7.12372722388564,-0.2076665388163036
2017-07-01 17:25:00,68.33947692319958,19.760694993240335,111.20614794209635,60.928128402898956,7.617066410708179,-0.20571789040754693
2017-07-01 17:30:00,68.83574661253435,19.966409429353998,110.5639185992296,60.937434773857305,8.102063911536376,-0.2037520728593294
2017-07-01 17:35:00,69.32299009401311,20.08803432026994,110.5761171159476,60.946741144815626,8.578018415578404,-0.20176946638092433
2017-07-01 17:40:00,69.80055122059228,18.510411737888244,111.8456017350104,60.956047515773975,9.044274157408081,-0.19977045258977538
2017-07-01 17:45:00,70.26782132185963,20.57892534367107,111.60328477080787,60.9653538867323,9.500222849606688,-0.19775541447935494
2017-07-01 17:50:00,70.724240796517,20.769870237445165,112.55681627494381,60.974660257690644,9.94530527520686,-0.19572473638051063
2017-07-01 17:55:00,71.16930035399707,21.598280000167065,113.42462853678018,60.98396662864894,10.379012529277375,-0.1936788039292509
2017-07-01 18:00:00,71.60254190355062,22.523417503613672,113.43142376677677,60.99327299960729,10.800886907987504,-0.1916180040441787
2017-07-01 18:05:00,72.02355908549569,21.434218310124855,113.8607656902261,61.00257937056561,11.210522439790276,-0.18954272486019852
2017-07-01 18:10:00,72.43199744609203,23.672536291343473,115.18791114906305,61.01188574152396,11.607565060282285,-0.18745335571422195
2017-07-01 18:15:00,72.82755426030185,23.37874638707918,115.25229094410392,61.02119211248228,11.991712434916971,-0.18535028709739765
2017-07-01 18:20:00,73.20997800396621,23.0981852456322,114.9390200200331,61.03049848344063,12.36271343116265,-0.18323391063706732
2017-07-01 18:25:00,73.57906748833676,23.694615874641524,115.92624772088165,61.03980485439898,12.720367252972007,-0.18110461903422273
2017-07-01 18:30:00,73.93467066630683,24.905221531354606,115.84592200140682,61.0491112253573,13.064522246996143,-0.17896280604661058
2017-07-01 18:35:00,74.27668311779331,23.42948450104213,115.76309957241394,61.0584175963156,13.39507438791587,-0.17680886643815885
2017-07-01 18:40:00,74.60504623859809,24.33967562809926,116.83824017046983,61.06772396727395,13.7119654672863,-0.17464319596215988
2017-07-01 18:45:00,74.91974514421362,26.86794543951006,116.95371494305375,61.07703033823227,14.015180997279232,-0.17246619129788443
2017-07-01 18:50:00,75.22080630774215,24.65925877064636,116.98442243924886,61.08633670919062,14.30474784858405,-0.17027825003251137
2017-07-01 18:55:00,75.50829495701751,26.63871797595753,117.53828578739702,61.09564308014897,14.580731647480848,-0.1680797706123016
2017-07-01 19:00:00,75.78231225075201,25.09857556347403,118.8425417067409,61.10494945110729,14.843233951972596,-0.16587115232786928
2017-07-01 19:05:00,76.0429922594854,27.638509016518686,119.23452849383459,61.11425582206564,15.09238923266621,-0.16365279524644286
