Date,Predicted_Temperature,Lower_Bound,Upper_Bound
2017-07-05 01:00:00,75.59659766061363,69.88667093645932,81.40001886511529
2017-07-05 02:00:00,70.21518120747518,63.901302853231535,76.4824292168507
2017-07-05 03:00:00,66.0238710457353,59.63906061123802,72.03368204179132
2017-07-05 04:00:00,63.67866365135421,57.78182973687477,69.84323033507387
2017-07-05 05:00:00,62.797166689252435,56.86932949067923,69.07728588022361
2017-07-05 06:00:00,62.43743230054012,56.4902371957493,68.87247996413448
2017-07-05 07:00:00,61.92085590165164,55.761446953637645,67.84123313265803
2017-07-05 08:00:00,61.24191238474369,55.336930496470146,66.75749776081871
2017-07-05 09:00:00,60.76528524050052,54.65835629277288,66.96873440344025
2017-07-05 10:00:00,60.6364694789098,54.75170480051261,66.68130004869147
2017-07-05 11:00:00,60.590730361192335,55.07912356027839,66.9044849218371
2017-07-05 12:00:00,60.383900456094814,54.065766784874945,66.28044385068934
2017-07-05 13:00:00,60.3680479333156,53.8751915445406,66.8152929983922
2017-07-05 14:00:00,61.523614983740266,55.65631414140282,67.47221048442843
2017-07-05 15:00:00,64.77331213207978,58.83231444983884,71.20853402221057
2017-07-05 16:00:00,70.1397082274633,63.67893294643265,76.20549108908325
2017-07-05 17:00:00,76.52504228287614,70.65939505069171,82.8587928181933
2017-07-05 18:00:00,82.35030368733646,75.9475827207876,88.40229355800122
2017-07-05 19:00:00,86.50517731339393,79.80754146720554,92.29865561501177
2017-07-05 20:00:00,88.7939700653238,82.55361852259384,95.00044752954258
2017-07-05 21:00:00,89.57163191506078,83.48286805080056,95.44552577300874
2017-07-05 22:00:00,89.04349107827548,82.875200701445,94.96105966144755
2017-07-05 23:00:00,86.98645772140253,80.93473766094054,93.28823876093249
2017-07-06 00:00:00,83.17015699701379,76.80765738366085,89.99117947223026
2017-07-06 01:00:00,78.00565976153958,71.89950893933944,84.15527152209931
2017-07-06 02:00:00,72.68505723562707,66.5265061618022,78.88203452486235
2017-07-06 03:00:00,68.56452776860229,62.4411423934686,74.9573227126176
2017-07-06 04:00:00,66.29912460449623,60.30902671054613,72.6564811307058
2017-07-06 05:00:00,65.50538899837282,58.73044507165891,72.14859001823399
2017-07-06 06:00:00,65.24019682588484,58.67739135541293,71.84970322247626
2017-07-06 07:00:00,64.82367209834831,58.162341467975466,71.4908104011251
2017-07-06 08:00:00,64.24893908864281,57.98758186118581,70.43017281200311
2017-07-06 09:00:00,63.87926838997363,57.71448721720079,70.218893090461
2017-07-06 10:00:00,63.85869757116292,57.40553422513577,70.33567158555731
2017-07-06 11:00:00,63.92100821961872,57.23610333028833,70.33350886438024
2017-07-06 12:00:00,63.8205416559182,57.56107573462232,70.53592421608437
2017-07-06 13:00:00,63.90788599910013,57.143126349060594,70.29569279099343
2017-07-06 14:00:00,65.16203323712105,58.526161137522855,71.79950975792637
2017-07-06 15:00:00,68.50429183499233,61.69481021398971,75.16330854165135
2017-07-06 16:00:00,73.95589443476004,67.42906204828124,80.28797340604906
2017-07-06 17:00:00,80.41782659964548,73.61296580328737,87.2691636249069
2017-07-06 18:00:00,86.30992291261582,79.45854438285646,93.06444930209715
2017-07-06 19:00:00,90.52082674957347,83.65470552196032,97.49375757736682
2017-07-06 20:00:00,92.85393009425971,85.77684374140459,99.45709629264056
2017-07-06 21:00:00,93.6634062736793,86.21890894474748,100.58289931958484
2017-07-06 22:00:00,93.153955115435,86.22252752411282,99.24097660314403
2017-07-06 23:00:00,91.10201479832244,84.1140740002091,97.78905971858036
2017-07-07 00:00:00,87.27690108864113,80.10454197607011,94.17482695510976
2017-07-07 01:00:00,82.08954223603715,74.78489714849937,89.27541146172369
2017-07-07 02:00:00,76.73205574190537,69.61077869598452,83.15254314673635
2017-07-07 03:00:00,72.56081513100068,65.23835474356196,80.03966693872052
2017-07-07 04:00:00,70.23123562218005,62.88233234039394,77.24294242441893
2017-07-07 05:00:00,69.36038307780208,61.897405335045256,76.41756045669906
2017-07-07 06:00:00,69.00581442334277,61.149087083256745,75.98116015121137
2017-07-07 07:00:00,68.48848302602113,61.17379389051784,76.00335621792594
2017-07-07 08:00:00,67.80248084173665,59.992368600691805,75.2298088258505
2017-07-07 09:00:00,67.31217277533878,59.86412274425515,75.00235577350549
2017-07-07 10:00:00,67.16280406459774,59.126114348905304,74.75925130555001
2017-07-07 11:00:00,67.08946264491333,59.4508511062491,74.36924009094743
2017-07-07 12:00:00,66.84787896197378,58.8232399505178,74.27006755316745
2017-07-07 13:00:00,66.7900961103638,58.65312515772924,73.98155972829677
2017-07-07 14:00:00,67.89660916399325,59.667654127994034,75.32019554422905
2017-07-07 15:00:00,71.09025945258436,62.94633795142912,78.40475155063022
2017-07-07 16:00:00,76.3938235676854,68.1843813373136,83.97184680808347
2017-07-07 17:00:00,82.70982328361603,74.82219523378724,90.13785856594174
2017-07-07 18:00:00,88.45960293913214,79.76339955959962,96.43649754828172
2017-07-07 19:00:00,92.5332708335743,84.1159614224272,101.05930732548184
2017-07-07 20:00:00,94.73562123385632,86.35115674015032,103.30297376852421
2017-07-07 21:00:00,95.42215009333651,86.7924684085515,103.92405900091728
2017-07-07 22:00:00,94.7987841965682,86.15348557487982,102.99721809762649
2017-07-07 23:00:00,92.64307820025725,83.26035465025547,101.35725416049304
2017-07-08 00:00:00,88.72534044672526,79.88331376131696,97.06912945696364
2017-07-08 01:00:00,83.4573559939727,75.2287920934012,92.18218195912884
2017-07-08 02:00:00,78.03195321700562,68.17460063125678,86.44971101483097
